goos: linux
goarch: amd64
pkg: arcoris.dev/pool
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkBaseline_AllocOnly_Pointer-16                 	18720524	        63.43 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	19089313	        57.99 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	20519534	        58.26 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	20636941	        57.95 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	22647358	        57.70 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	20774436	        57.79 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	20751523	        60.63 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	19834935	        57.57 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	21756633	        60.07 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_AllocOnly_Pointer-16                 	18449325	        59.26 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        11.11 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.80 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.85 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        11.02 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        11.44 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.98 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.85 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.92 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        10.92 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Pointer-16    	100000000	        11.16 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	70799622	        17.31 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	72157729	        17.58 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	67169046	        17.93 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	62103330	        17.98 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	66911972	        17.64 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	74533095	        17.29 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	68216169	        17.70 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	66882794	        16.89 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	65968568	        18.02 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Pointer-16    	69086652	        17.88 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	209959130	         5.667 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	229691054	         5.476 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	226414941	         5.045 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	222551886	         5.103 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	238396231	         5.057 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	248290748	         5.155 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	236296062	         5.601 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	220390986	         5.032 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	247483622	         5.446 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_AllocOnly_Value-16                   	227273812	         5.603 ns/op	         1.000 news/op	       0 B/op	       0 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	20507020	        56.09 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	35669416	        61.39 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	29469054	        36.20 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	39294992	        33.69 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	34775737	        30.59 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	37314043	        31.18 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	39007334	        33.27 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	33949024	        30.51 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	38264713	        32.73 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_RawSyncPool_Value-16      	39694738	        32.98 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	16620370	        69.32 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17627872	        68.87 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17037422	        69.55 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17154120	        69.14 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17507643	        69.37 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17284746	        70.18 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	17622164	        68.45 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	16792831	        68.62 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	16725386	        70.06 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkBaseline_Controlled_ARCORISPool_Value-16      	16578529	        67.99 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	19204150	        63.88 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	19824128	        62.79 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	19044007	        64.56 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	20425500	        58.89 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	21535494	        61.91 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	19654404	        60.60 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	17383548	        63.70 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	18501706	        63.01 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	20445108	        60.04 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/realistic-alloc-only-16         	18840655	        61.55 ns/op	         1.000 news/op	     304 B/op	       2 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	131837210	         8.923 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	132876730	         8.909 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	120141744	         9.458 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	131135517	         9.418 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	131128674	         8.857 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	131303654	         9.246 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	128382189	         9.259 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	134641076	         9.244 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	134937105	         8.912 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-raw-sync-pool-16     	135855020	         9.041 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-arcoris-pool-16      	85350733	        13.91 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-arcoris-pool-16      	92242398	        14.14 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-arcoris-pool-16      	86116899	        13.71 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_PointerBaselines/controlled-arcoris-pool-16      	87283848	        13.72 ns/op	         0 news/op	       0 B/op	       0 allocs/op
